node,implementationID,data,time,towerID
3,6,12.6121,"2011-11-01 03:19:14",3
3,5,4.2,"2011-11-01 03:19:14",3
3,1,257.576,"2011-11-01 03:19:14",3
4,3,0.6472,"2011-11-01 03:19:14",1
4,4,0.6702,"2011-11-01 03:19:14",1
4,2,106.061,"2011-11-01 03:19:14",1
5,3,0.6722,"2011-11-01 03:49:09",2
5,4,0.6702,"2011-11-01 03:49:09",2
5,2,1166.67,"2011-11-01 03:49:09",2
6,3,0.7052,"2011-11-01 03:49:09",3
6,4,0.7022,"2011-11-01 03:49:09",3
6,2,1015.15,"2011-11-01 03:49:09",3
2,5,4.1,"2011-11-01 04:19:15",2
2,1,106.061,"2011-11-01 04:19:15",2
2,0,4.83577,"2011-11-01 04:19:15",2
2,6,12.5761,"2011-11-01 04:19:15",2
3,0,1.20493,"2011-11-01 04:19:15",3
3,6,12.6121,"2011-11-01 04:19:15",3
3,5,4.78,"2011-11-01 04:19:15",3
3,1,863.636,"2011-11-01 04:19:15",3
4,3,0.6572,"2011-11-01 04:19:15",1
4,2,106.061,"2011-11-01 04:19:15",1
4,4,0.6797,"2011-11-01 04:19:15",1
5,3,0.6672,"2011-11-01 04:49:09",2
5,2,560.606,"2011-11-01 04:49:09",2
5,4,0.6762,"2011-11-01 04:49:09",2
6,3,0.6937,"2011-11-01 04:49:09",3
6,4,0.6987,"2011-11-01 04:49:09",3
6,2,1015.15,"2011-11-01 04:49:09",3
2,5,6.5,"2011-11-01 05:19:17",2
2,1,560.606,"2011-11-01 05:19:17",2
2,0,4.92352,"2011-11-01 05:19:17",2
2,6,12.5962,"2011-11-01 05:19:17",2
3,1,863.636,"2011-11-01 05:19:17",3
3,0,0.830891,"2011-11-01 05:19:17",3
3,6,12.6701,"2011-11-01 05:19:17",3
3,5,7.16,"2011-11-01 05:19:17",3
4,2,106.061,"2011-11-01 05:19:17",1
4,3,0.6397,"2011-11-01 05:19:17",1
4,4,0.6892,"2011-11-01 05:19:17",1
5,3,0.6792,"2011-11-01 05:19:17",2
5,4,0.6812,"2011-11-01 05:19:17",2
5,2,106.061,"2011-11-01 05:19:17",2
2,6,12.5962,"2011-11-01 06:19:21",2
2,5,6.62,"2011-11-01 06:19:21",2
2,1,560.606,"2011-11-01 06:19:21",2
2,0,5.02102,"2011-11-01 06:19:21",2
3,5,7.24,"2011-11-01 06:19:21",3
3,1,257.576,"2011-11-01 06:19:21",3
3,0,1.11088,"2011-11-01 06:19:21",3
3,6,12.6556,"2011-11-01 06:19:21",3
4,3,0.6382,"2011-11-01 06:19:21",1
4,4,0.6837,"2011-11-01 06:19:21",1
4,2,106.061,"2011-11-01 06:19:21",1
5,2,257.576,"2011-11-01 06:19:21",2
5,3,0.6787,"2011-11-01 06:19:21",2
5,4,0.6817,"2011-11-01 06:19:21",2
6,3,0.7027,"2011-11-01 06:19:21",3
6,4,0.6917,"2011-11-01 06:19:21",3
6,2,712.121,"2011-11-01 06:19:21",3
6,4,0.6977,"2011-11-01 06:49:06",3
6,2,106.061,"2011-11-01 06:49:06",3
6,3,0.6992,"2011-11-01 06:49:06",3
2,6,12.5493,"2011-11-01 07:19:19",2
2,5,4.39,"2011-11-01 07:19:19",2
2,1,1166.67,"2011-11-01 07:19:19",2
2,0,5.25312,"2011-11-01 07:19:19",2
3,5,4.78,"2011-11-01 07:19:19",3
3,1,257.576,"2011-11-01 07:19:19",3
3,0,1.26318,"2011-11-01 07:19:19",3
3,6,12.5759,"2011-11-01 07:19:19",3
4,3,0.6352,"2011-11-01 07:19:19",1
4,4,0.6832,"2011-11-01 07:19:19",1
4,2,106.061,"2011-11-01 07:19:19",1
5,2,409.091,"2011-11-01 07:19:19",2
5,4,0.6807,"2011-11-01 07:19:19",2
5,3,0.6732,"2011-11-01 07:19:19",2
6,3,0.6962,"2011-11-01 07:49:08",3
6,4,0.6932,"2011-11-01 07:49:08",3
6,2,560.606,"2011-11-01 07:49:08",3
2,6,12.5761,"2011-11-01 08:19:20",2
2,5,5.65,"2011-11-01 08:19:20",2
2,1,106.061,"2011-11-01 08:19:20",2
2,0,4.4181,"2011-11-01 08:19:20",2
3,5,6.68,"2011-11-01 08:19:20",3
3,1,106.061,"2011-11-01 08:19:20",3
3,0,0.672406,"2011-11-01 08:19:20",3
3,6,12.6338,"2011-11-01 08:19:20",3
4,2,106.061,"2011-11-01 08:19:20",1
4,3,0.6392,"2011-11-01 08:19:20",1
4,4,0.6887,"2011-11-01 08:19:20",1
5,2,409.091,"2011-11-01 08:19:20",2
5,3,0.6617,"2011-11-01 08:19:20",2
5,4,0.6842,"2011-11-01 08:19:20",2
6,2,106.061,"2011-11-01 08:49:09",3
6,3,0.7032,"2011-11-01 08:49:09",3
6,4,0.7162,"2011-11-01 08:49:09",3
2,0,4.63447,"2011-11-01 09:19:21",2
2,6,12.5627,"2011-11-01 09:19:21",2
2,5,6.12,"2011-11-01 09:19:21",2
2,1,106.061,"2011-11-01 09:19:21",2
3,6,12.6266,"2011-11-01 09:19:21",3
3,5,6.78,"2011-11-01 09:19:21",3
3,1,257.576,"2011-11-01 09:19:21",3
3,0,0.978192,"2011-11-01 09:19:21",3
4,2,106.061,"2011-11-01 09:19:21",1
4,4,0.6907,"2011-11-01 09:19:21",1
4,3,0.6427,"2011-11-01 09:19:21",1
5,4,0.6882,"2011-11-01 09:19:21",2
5,2,257.576,"2011-11-01 09:19:21",2
5,3,0.6902,"2011-11-01 09:19:21",2
6,2,409.091,"2011-11-01 09:49:11",3
6,3,0.6952,"2011-11-01 09:49:11",3
6,4,0.6877,"2011-11-01 09:49:11",3
2,0,2.46378,"2011-11-01 10:19:22",2
2,6,12.4957,"2011-11-01 10:19:22",2
2,5,2.5,"2011-11-01 10:19:22",2
2,1,1015.15,"2011-11-01 10:19:22",2
3,6,12.5179,"2011-11-01 10:19:22",3
3,5,2.7,"2011-11-01 10:19:22",3
3,1,560.606,"2011-11-01 10:19:22",3
3,0,0.865777,"2011-11-01 10:19:22",3
4,4,0.6782,"2011-11-01 10:19:22",1
4,2,106.061,"2011-11-01 10:19:22",1
4,3,0.6492,"2011-11-01 10:19:22",1
5,3,0.6672,"2011-11-01 10:19:22",2
5,4,0.6812,"2011-11-01 10:19:22",2
5,2,3136.36,"2011-11-01 10:19:22",2
3,6,12.7787,"2011-11-01 10:49:15",3
3,5,2.71,"2011-11-01 10:49:15",3
3,1,207076,"2011-11-01 10:49:15",3
3,0,0.864184,"2011-11-01 10:49:15",3
6,2,10106.1,"2011-11-01 10:49:15",3
6,3,0.6987,"2011-11-01 10:49:15",3
6,4,0.7077,"2011-11-01 10:49:15",3
2,1,208136,"2011-11-01 11:19:19",2
2,0,4.42928,"2011-11-01 11:19:19",2
2,6,13.2056,"2011-11-01 11:19:19",2
2,5,3.38,"2011-11-01 11:19:19",2
4,3,0.6432,"2011-11-01 11:19:19",1
4,4,0.6747,"2011-11-01 11:19:19",1
4,2,97530.3,"2011-11-01 11:19:19",1
5,3,0.6587,"2011-11-01 11:19:19",2
5,4,0.6867,"2011-11-01 11:19:19",2
5,2,119348,"2011-11-01 11:19:19",2
3,0,-0.282949,"2011-11-01 11:49:15",3
3,6,14.4378,"2011-11-01 11:49:15",3
3,5,10.52,"2011-11-01 11:49:15",3
3,1,219955,"2011-11-01 11:49:15",3
6,3,0.7017,"2011-11-01 11:49:38",3
6,2,110712,"2011-11-01 11:49:38",3
6,4,0.7122,"2011-11-01 11:49:38",3
2,5,9.04,"2011-11-01 12:19:20",2
2,1,218439,"2011-11-01 12:19:20",2
2,0,2.07746,"2011-11-01 12:19:20",2
2,6,14.2907,"2011-11-01 12:19:20",2
4,3,0.6402,"2011-11-01 12:19:20",1
4,4,0.6662,"2011-11-01 12:19:20",1
4,2,204652,"2011-11-01 12:19:20",1
5,3,0.6627,"2011-11-01 12:19:20",2
5,4,0.6817,"2011-11-01 12:19:20",2
5,2,191167,"2011-11-01 12:19:20",2
3,0,-0.66711,"2011-11-01 12:49:17",3
3,6,13.9379,"2011-11-01 12:49:17",3
3,5,12.03,"2011-11-01 12:49:17",3
3,1,223894,"2011-11-01 12:49:17",3
6,3,0.7012,"2011-11-01 12:49:17",3
6,4,0.7092,"2011-11-01 12:49:17",3
6,2,179652,"2011-11-01 12:49:17",3
2,5,7.52,"2011-11-01 13:20:23",2
2,1,210561,"2011-11-01 13:20:23",2
2,0,1.73832,"2011-11-01 13:20:23",2
2,6,14.2237,"2011-11-01 13:20:23",2
4,3,0.6402,"2011-11-01 13:20:23",1
4,2,207076,"2011-11-01 13:20:23",1
4,4,0.6912,"2011-11-01 13:20:23",1
5,3,0.6757,"2011-11-01 13:20:23",2
5,2,201773,"2011-11-01 13:20:23",2
5,4,0.6877,"2011-11-01 13:20:23",2
6,3,0.6952,"2011-11-01 13:20:23",3
6,4,0.7162,"2011-11-01 13:20:23",3
6,2,214045,"2011-11-01 13:20:23",3
3,1,225712,"2011-11-01 13:50:01",3
3,0,-0.749154,"2011-11-01 13:50:01",3
3,6,13.9379,"2011-11-01 13:50:01",3
3,5,13.12,"2011-11-01 13:50:01",3
2,5,9.9,"2011-11-01 14:20:23",2
2,1,224652,"2011-11-01 14:20:23",2
2,0,3.16769,"2011-11-01 14:20:23",2
2,6,14.0897,"2011-11-01 14:20:23",2
4,2,207227,"2011-11-01 14:20:23",1
4,3,0.6427,"2011-11-01 14:20:23",1
4,4,0.6662,"2011-11-01 14:20:23",1
5,4,0.6782,"2011-11-01 14:20:23",2
5,2,207833,"2011-11-01 14:20:23",2
5,3,0.6582,"2011-11-01 14:20:23",2
6,3,0.7012,"2011-11-01 14:20:23",3
6,4,0.7062,"2011-11-01 14:20:23",3
6,2,205409,"2011-11-01 14:20:23",3
2,6,14.4045,"2011-11-01 14:49:19",2
2,5,20.56,"2011-11-01 14:49:19",2
2,1,223742,"2011-11-01 14:49:19",2
2,0,1.71642,"2011-11-01 14:49:19",2
3,5,11.42,"2011-11-01 14:49:19",3
3,1,225409,"2011-11-01 14:49:19",3
3,0,-0.070428,"2011-11-01 14:49:19",3
3,6,14.2785,"2011-11-01 14:49:19",3
4,3,0.6417,"2011-11-01 15:19:51",1
4,4,0.6822,"2011-11-01 15:19:51",1
4,2,209955,"2011-11-01 15:19:51",1
5,2,208591,"2011-11-01 15:19:51",2
5,3,0.6652,"2011-11-01 15:19:51",2
5,4,0.6807,"2011-11-01 15:19:51",2
6,3,0.6942,"2011-11-01 15:19:51",3
6,2,208136,"2011-11-01 15:19:51",3
6,4,0.7167,"2011-11-01 15:19:51",3
2,6,14.4045,"2011-11-01 15:49:21",2
2,5,25.01,"2011-11-01 15:49:21",2
2,1,222227,"2011-11-01 15:49:21",2
2,0,0.374279,"2011-11-01 15:49:21",2
3,5,14.6,"2011-11-01 15:49:21",3
3,1,223136,"2011-11-01 15:49:21",3
3,0,-0.357879,"2011-11-01 15:49:21",3
3,6,13.8582,"2011-11-01 15:49:21",3
4,3,0.6422,"2011-11-01 16:19:22",1
4,4,0.6842,"2011-11-01 16:19:22",1
4,2,204955,"2011-11-01 16:19:22",1
5,2,208591,"2011-11-01 16:19:22",2
5,3,0.6567,"2011-11-01 16:19:22",2
5,4,0.6757,"2011-11-01 16:19:22",2
6,4,0.7222,"2011-11-01 16:19:22",3
6,2,206773,"2011-11-01 16:19:22",3
6,3,0.6987,"2011-11-01 16:19:22",3
2,6,14.7193,"2011-11-01 16:49:21",2
2,5,28.57,"2011-11-01 16:49:21",2
2,1,219652,"2011-11-01 16:49:21",2
2,0,0.884128,"2011-11-01 16:49:21",2
3,5,23.11,"2011-11-01 16:49:21",3
3,1,220864,"2011-11-01 16:49:21",3
3,0,-1.84635,"2011-11-01 16:49:21",3
3,6,14.0973,"2011-11-01 16:49:21",3
4,2,193742,"2011-11-01 17:19:22",1
4,3,0.6412,"2011-11-01 17:19:22",1
4,4,0.6807,"2011-11-01 17:19:22",1
5,2,198439,"2011-11-01 17:19:22",2
5,3,0.6692,"2011-11-01 17:19:22",2
5,4,0.6752,"2011-11-01 17:19:22",2
6,2,205712,"2011-11-01 17:19:22",3
6,3,0.6942,"2011-11-01 17:19:22",3
6,4,0.7077,"2011-11-01 17:19:22",3
2,0,0.855557,"2011-11-01 17:49:21",2
2,6,13.9625,"2011-11-01 17:49:21",2
2,5,26.97,"2011-11-01 17:49:21",2
2,1,219045,"2011-11-01 17:49:21",2
3,6,14.2712,"2011-11-01 17:49:21",3
3,5,24.86,"2011-11-01 17:49:21",3
3,1,220258,"2011-11-01 17:49:21",3
3,0,-1.72147,"2011-11-01 17:49:21",3
4,2,191621,"2011-11-01 18:19:23",1
4,3,0.6392,"2011-11-01 18:19:23",1
4,4,0.6817,"2011-11-01 18:19:23",1
5,2,191470,"2011-11-01 18:19:23",2
5,4,0.6822,"2011-11-01 18:19:23",2
5,3,0.6657,"2011-11-01 18:19:23",2
6,2,197985,"2011-11-01 18:19:23",3
6,3,0.7032,"2011-11-01 18:19:23",3
6,4,0.6892,"2011-11-01 18:19:23",3
2,0,1.33567,"2011-11-01 18:49:22",2
2,6,13.4602,"2011-11-01 18:49:22",2
2,5,26.78,"2011-11-01 18:49:22",2
2,1,217985,"2011-11-01 18:49:22",2
3,6,14.1408,"2011-11-01 18:49:22",3
3,5,24.66,"2011-11-01 18:49:22",3
3,1,216924,"2011-11-01 18:49:22",3
3,0,-2.05289,"2011-11-01 18:49:22",3
4,4,0.6912,"2011-11-01 19:19:24",1
4,2,134348,"2011-11-01 19:19:24",1
4,3,0.6512,"2011-11-01 19:19:24",1
5,3,0.6512,"2011-11-01 19:19:24",2
5,4,0.6887,"2011-11-01 19:19:24",2
5,2,177682,"2011-11-01 19:19:24",2
6,2,187227,"2011-11-01 19:19:24",3
6,3,0.7012,"2011-11-01 19:19:24",3
6,4,0.6787,"2011-11-01 19:19:24",3
2,1,213894,"2011-11-01 19:49:23",2
2,0,0.00243202,"2011-11-01 19:49:23",2
2,6,13.1454,"2011-11-01 19:49:23",2
2,5,20.86,"2011-11-01 19:49:23",2
3,6,14.0901,"2011-11-01 19:49:23",3
3,5,22.4,"2011-11-01 19:49:23",3
3,1,211318,"2011-11-01 19:49:23",3
3,0,-2.21826,"2011-11-01 19:49:23",3
4,3,0.6447,"2011-11-01 20:19:25",1
4,4,0.6922,"2011-11-01 20:19:25",1
4,2,92227.3,"2011-11-01 20:19:25",1
5,3,0.6582,"2011-11-01 20:19:25",2
5,4,0.6867,"2011-11-01 20:19:25",2
5,2,92681.8,"2011-11-01 20:19:25",2
6,2,97227.3,"2011-11-01 20:19:25",3
6,3,0.7037,"2011-11-01 20:19:25",3
6,4,0.7057,"2011-11-01 20:19:25",3
2,5,5.92,"2011-11-01 20:49:24",2
2,1,91772.7,"2011-11-01 20:49:24",2
2,0,4.23056,"2011-11-01 20:49:24",2
2,6,12.7837,"2011-11-01 20:49:24",2
3,0,0.114772,"2011-11-01 20:49:24",3
3,6,13.1337,"2011-11-01 20:49:24",3
3,5,7.62,"2011-11-01 20:49:24",3
3,1,124045,"2011-11-01 20:49:24",3
4,3,0.6457,"2011-11-01 21:19:26",1
4,4,0.6942,"2011-11-01 21:19:26",1
4,2,4348.48,"2011-11-01 21:19:26",1
5,3,0.6607,"2011-11-01 21:19:26",2
5,4,0.6832,"2011-11-01 21:19:26",2
5,2,5712.12,"2011-11-01 21:19:26",2
2,5,-1.44,"2011-11-01 21:49:24",2
2,1,1318.18,"2011-11-01 21:49:24",2
2,0,4.30936,"2011-11-01 21:49:24",2
2,6,12.6163,"2011-11-01 21:49:24",2
3,0,0.256033,"2011-11-01 21:49:24",3
3,6,12.6194,"2011-11-01 21:49:24",3
3,5,-0.88,"2011-11-01 21:49:24",3
3,1,560.606,"2011-11-01 21:49:24",3
6,3,0.6987,"2011-11-01 21:49:25",3
6,4,0.7217,"2011-11-01 21:49:25",3
6,2,2075.76,"2011-11-01 21:49:25",3
4,3,0.6432,"2011-11-01 22:19:26",1
4,2,106.061,"2011-11-01 22:19:26",1
4,4,0.6817,"2011-11-01 22:19:26",1
5,3,0.6642,"2011-11-01 22:19:26",2
5,2,1469.7,"2011-11-01 22:19:26",2
5,4,0.6877,"2011-11-01 22:19:26",2
2,5,-3.86,"2011-11-01 22:49:24",2
2,1,863.636,"2011-11-01 22:49:24",2
2,0,4.30226,"2011-11-01 22:49:24",2
2,6,12.5426,"2011-11-01 22:49:24",2
3,1,712.121,"2011-11-01 22:49:24",3
3,0,1.50508,"2011-11-01 22:49:24",3
3,6,12.5107,"2011-11-01 22:49:24",3
3,5,-3.44,"2011-11-01 22:49:24",3
6,4,0.6872,"2011-11-01 22:49:25",3
6,3,0.6967,"2011-11-01 22:49:25",3
6,2,106.061,"2011-11-01 22:49:25",3
4,2,106.061,"2011-11-01 23:19:26",1
4,3,0.6417,"2011-11-01 23:19:26",1
4,4,0.6922,"2011-11-01 23:19:26",1
5,3,0.6577,"2011-11-01 23:19:26",2
5,2,409.091,"2011-11-01 23:19:26",2
5,4,0.6852,"2011-11-01 23:19:26",2
2,6,12.4622,"2011-11-01 23:49:24",2
2,5,-7.36,"2011-11-01 23:49:24",2
2,1,1015.15,"2011-11-01 23:49:24",2
2,0,4.42178,"2011-11-01 23:49:24",2
3,5,-6.96,"2011-11-01 23:49:24",3
3,1,409.091,"2011-11-01 23:49:24",3
3,0,0.480102,"2011-11-01 23:49:24",3
3,6,12.373,"2011-11-01 23:49:24",3
6,3,0.7002,"2011-11-01 23:49:25",3
6,4,0.7157,"2011-11-01 23:49:25",3
6,2,1166.67,"2011-11-01 23:49:25",3
4,3,0.6432,"2011-11-02 00:19:26",1
4,4,0.6987,"2011-11-02 00:19:26",1
4,2,106.061,"2011-11-02 00:19:26",1
5,2,106.061,"2011-11-02 00:19:26",2
5,3,0.6682,"2011-11-02 00:19:26",2
5,4,0.6762,"2011-11-02 00:19:26",2
2,6,12.4421,"2011-11-02 00:49:24",2
2,5,-8.9,"2011-11-02 00:49:24",2
2,1,106.061,"2011-11-02 00:49:24",2
2,0,4.11152,"2011-11-02 00:49:24",2
3,5,-7.86,"2011-11-02 00:49:24",3
3,1,712.121,"2011-11-02 00:49:24",3
3,0,0.657905,"2011-11-02 00:49:24",3
3,6,12.3078,"2011-11-02 00:49:24",3
6,3,0.6977,"2011-11-02 00:49:25",3
6,2,257.576,"2011-11-02 00:49:25",3
6,4,0.7167,"2011-11-02 00:49:25",3
4,4,0.6772,"2011-11-02 01:19:26",1
4,3,0.6467,"2011-11-02 01:19:26",1
4,2,106.061,"2011-11-02 01:19:26",1
5,2,106.061,"2011-11-02 01:19:26",2
5,3,0.6702,"2011-11-02 01:19:26",2
5,4,0.6857,"2011-11-02 01:19:26",2
2,6,12.3819,"2011-11-02 01:49:24",2
2,5,-10.34,"2011-11-02 01:49:24",2
2,1,409.091,"2011-11-02 01:49:24",2
2,0,4.71771,"2011-11-02 01:49:24",2
3,5,-10.46,"2011-11-02 01:49:24",3
3,1,1015.15,"2011-11-02 01:49:24",3
3,0,0.835811,"2011-11-02 01:49:24",3
3,6,12.2354,"2011-11-02 01:49:24",3
6,4,0.7137,"2011-11-02 01:49:25",3
6,2,1318.18,"2011-11-02 01:49:25",3
6,3,0.6947,"2011-11-02 01:49:25",3
4,2,106.061,"2011-11-02 02:19:26",1
4,3,0.6492,"2011-11-02 02:19:26",1
4,4,0.6857,"2011-11-02 02:19:26",1
5,2,712.121,"2011-11-02 02:19:26",2
5,3,0.6722,"2011-11-02 02:19:26",2
5,4,0.6787,"2011-11-02 02:19:26",2
2,0,4.47952,"2011-11-02 02:49:24",2
2,6,12.3685,"2011-11-02 02:49:24",2
2,5,-10.6,"2011-11-02 02:49:24",2
2,1,409.091,"2011-11-02 02:49:24",2
3,6,12.1919,"2011-11-02 02:49:24",3
3,5,-10.16,"2011-11-02 02:49:24",3
3,1,1015.15,"2011-11-02 02:49:24",3
3,0,0.898949,"2011-11-02 02:49:24",3
6,2,106.061,"2011-11-02 02:49:25",3
6,3,0.6977,"2011-11-02 02:49:25",3
6,4,0.7162,"2011-11-02 02:49:25",3
4,2,106.061,"2011-11-02 03:19:26",1
4,3,0.6472,"2011-11-02 03:19:26",1
4,4,0.6947,"2011-11-02 03:19:26",1
5,2,712.121,"2011-11-02 03:19:26",2
5,3,0.6777,"2011-11-02 03:19:26",2
5,4,0.6827,"2011-11-02 03:19:26",2
2,0,4.42522,"2011-11-02 03:49:24",2
2,6,12.2948,"2011-11-02 03:49:24",2
2,5,-11.62,"2011-11-02 03:49:24",2
2,1,1318.18,"2011-11-02 03:49:24",2
3,6,12.1484,"2011-11-02 03:49:24",3
3,5,-11.64,"2011-11-02 03:49:24",3
3,1,560.606,"2011-11-02 03:49:24",3
3,0,1.00524,"2011-11-02 03:49:24",3
6,2,712.121,"2011-11-02 03:49:25",3
6,4,0.7247,"2011-11-02 03:49:25",3
6,3,0.6997,"2011-11-02 03:49:25",3
4,2,106.061,"2011-11-02 04:19:26",1
4,3,0.6487,"2011-11-02 04:19:26",1
4,4,0.6917,"2011-11-02 04:19:26",1
5,3,0.6607,"2011-11-02 04:19:26",2
5,4,0.6947,"2011-11-02 04:19:26",2
5,2,1015.15,"2011-11-02 04:19:26",2
2,1,1318.18,"2011-11-02 04:49:24",2
2,0,4.60765,"2011-11-02 04:49:24",2
2,6,12.3015,"2011-11-02 04:49:24",2
2,5,-12.54,"2011-11-02 04:49:24",2
3,6,12.105,"2011-11-02 04:49:24",3
3,5,-12.08,"2011-11-02 04:49:24",3
3,1,712.121,"2011-11-02 04:49:24",3
3,0,1.10731,"2011-11-02 04:49:24",3
6,2,712.121,"2011-11-02 04:49:25",3
6,3,0.6807,"2011-11-02 04:49:25",3
6,4,0.7147,"2011-11-02 04:49:25",3
4,3,0.6457,"2011-11-02 05:19:26",1
4,4,0.6927,"2011-11-02 05:19:26",1
4,2,106.061,"2011-11-02 05:19:26",1
5,3,0.6542,"2011-11-02 05:19:26",2
5,4,0.6732,"2011-11-02 05:19:26",2
5,2,409.091,"2011-11-02 05:19:26",2
2,5,-13.26,"2011-11-02 05:49:24",2
2,1,106.061,"2011-11-02 05:49:24",2
2,0,4.72863,"2011-11-02 05:49:24",2
2,6,12.2278,"2011-11-02 05:49:24",2
3,0,1.40409,"2011-11-02 05:49:24",3
3,6,12.0687,"2011-11-02 05:49:24",3
3,5,-12.84,"2011-11-02 05:49:24",3
3,1,1015.15,"2011-11-02 05:49:24",3
6,2,712.121,"2011-11-02 05:49:25",3
6,3,0.6982,"2011-11-02 05:49:25",3
6,4,0.7087,"2011-11-02 05:49:25",3
4,3,0.6522,"2011-11-02 06:19:26",1
4,4,0.6822,"2011-11-02 06:19:26",1
4,2,106.061,"2011-11-02 06:19:26",1
5,3,0.6727,"2011-11-02 06:19:26",2
5,4,0.6827,"2011-11-02 06:19:26",2
5,2,409.091,"2011-11-02 06:19:26",2
2,5,-12.54,"2011-11-02 06:49:24",2
2,1,257.576,"2011-11-02 06:49:24",2
2,0,4.49549,"2011-11-02 06:49:24",2
2,6,12.201,"2011-11-02 06:49:24",2
3,0,1.10396,"2011-11-02 06:49:24",3
3,6,12.0832,"2011-11-02 06:49:24",3
3,5,-12.06,"2011-11-02 06:49:24",3
3,1,560.606,"2011-11-02 06:49:24",3
6,3,0.6992,"2011-11-02 06:49:25",3
6,4,0.7077,"2011-11-02 06:49:25",3
6,2,106.061,"2011-11-02 06:49:25",3
4,3,0.6492,"2011-11-02 07:19:26",1
4,2,106.061,"2011-11-02 07:19:26",1
4,4,0.6962,"2011-11-02 07:19:26",1
5,3,0.6722,"2011-11-02 07:19:26",2
5,2,863.636,"2011-11-02 07:19:26",2
5,4,0.6752,"2011-11-02 07:19:26",2
2,5,-13.62,"2011-11-02 07:49:24",2
2,1,1015.15,"2011-11-02 07:49:24",2
2,0,4.92909,"2011-11-02 07:49:24",2
2,6,12.2144,"2011-11-02 07:49:24",2
3,1,257.576,"2011-11-02 07:49:24",3
3,0,1.20407,"2011-11-02 07:49:24",3
3,6,12.0035,"2011-11-02 07:49:24",3
3,5,-13.66,"2011-11-02 07:49:24",3
6,3,0.6892,"2011-11-02 07:49:25",3
6,4,0.6857,"2011-11-02 07:49:25",3
6,2,863.636,"2011-11-02 07:49:25",3
4,2,106.061,"2011-11-02 08:19:26",1
4,3,0.6482,"2011-11-02 08:19:26",1
4,4,0.6837,"2011-11-02 08:19:26",1
5,4,0.6887,"2011-11-02 08:19:26",2
5,2,106.061,"2011-11-02 08:19:26",2
5,3,0.6587,"2011-11-02 08:19:26",2
2,6,12.1675,"2011-11-02 08:49:24",2
2,5,-14.2,"2011-11-02 08:49:24",2
2,1,1469.7,"2011-11-02 08:49:24",2
2,0,5.80919,"2011-11-02 08:49:24",2
3,5,-13.9,"2011-11-02 08:49:24",3
3,1,560.606,"2011-11-02 08:49:24",3
3,0,1.24457,"2011-11-02 08:49:24",3
3,6,12.0108,"2011-11-02 08:49:24",3
6,3,0.7027,"2011-11-02 08:49:25",3
